path,id
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s1,1
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s2,2
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s3,3
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s4,4
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s5,5
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s6,6
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s7,7
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s8,8
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s9,9
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s10,10
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s11,11
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s12,12
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s13,13
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s14,14
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s15,15
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s16,16
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s17,17
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s18,18
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s19,19
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s20,20
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s21,21
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s22,22
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s23,23
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s24,24
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s25,25
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s26,26
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s27,27
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s28,28
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s29,29
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s30,30
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s31,31
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s32,32
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s33,33
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s34,34
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s35,35
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s36,36
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s37,37
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s38,38
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s39,39
/home/eugenek/code/EC500/assets/att_faces/10th_of_all_faces_organized/s40,40
